Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"2011,""19,75"",""353,39"",""493,68"",""350,10"",""449,64"",""672,48"",""1.122,11"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2012,""21,52"",""389,03"",""512,49"",""325,28"",""313,01"",""619,04"",""932,05"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2013,""15,23"",""443,74"",""634,15"",""357,16"",""345,02"",""592,21"",""937,23"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2014,""13,45"",""498,56"",""569,78"",""358,49"",""370,87"",""565,09"",""935,96"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2015,""10,16"",""433,54"",""541,34"",""292,93"",""329,72"",""385,00"",""714,72"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2016,""6,95"",""418,67"",""683,23"",""242,55"",""255,57"",""323,85"",""579,42"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2017,""9,93"",""290,64"",""569,06"",""229,15"",""229,65"",""310,71"",""540,36"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2018,""9,04"",""216,94"",""529,92"",""218,45"",""232,21"",""276,02"",""508,23"",Embu das Artes,Grande São Paulo (exclui a Capital)"
None,None,None,None,None,None,None,None,Embu Guaçú,Grande São Paulo (exclui a Capital)
"1999,""37,55"",""430,69"",""516,83"",""330,57"",-,-,-,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2000,""60,81"",""441,95"",""559,33"",""394,57"",-,-,-,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2001,""35,22"",""545,61"",""466,88"",""325,30"",""1.916,70"",""1.892,44"",""3.809,14"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2002,""48,10"",""533,17"",""451,87"",""324,51"",""2.003,58"",""1.423,97"",""3.427,55"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2003,""49,23"",""578,83"",""492,34"",""369,25"",""1.801,41"",""1.634,27"",""3.435,68"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2004,""37,92"",""723,72"",""383,76"",""390,30"",""1.592,58"",""1.663,49"",""3.256,07"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2005,""32,14"",""674,95"",""341,33"",""399,83"",""1.474,12"",""1.512,53"",""2.986,65"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2006,""26,57"",""671,16"",""353,61"",""356,77"",""1.281,24"",""1.103,64"",""2.384,88"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2007,""19,93"",""609,62"",""356,81"",""229,78"",""790,34"",""559,82"",""1.350,17"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2008,""14,10"",""506,39"",""304,69"",""186,98"",""472,84"",""535,66"",""1.008,50"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2009,""11,47"",""492,13"",""413,02"",""254,21"",""548,08"",""733,82"",""1.281,90"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2010,""15,47"",""345,69"",""365,91"",""277,26"",""512,39"",""705,85"",""1.218,24"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2011,""14,07"",""423,95"",""400,49"",""377,63"",""605,57"",""838,83"",""1.444,40"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2012,""24,27"",""513,17"",""414,93"",""432,84"",""462,92"",""993,91"",""1.456,83"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2013,""15,38"",""638,44"",""565,54"",""492,64"",""429,89"",""1.057,54"",""1.487,43"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2014,""8,98"",""423,22"",""486,08"",""520,32"",""560,24"",""999,34"",""1.559,58"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2015,""8,85"",""489,56"",""546,54"",""574,19"",""649,86"",""975,57"",""1.625,43"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2016,""13,65"",""415,48"",""559,61"",""481,54"",""480,30"",""860,29"",""1.340,59"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2017,""8,08"",""540,46"",""660,62"",""510,28"",""524,38"",""878,41"",""1.402,80"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"2018,""4,25"",""495,46"",""681,33"",""417,40"",""430,63"",""697,62"",""1.128,26"",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)"
"1999,""71,73"",""352,36"",""403,60"",""100,11"",-,-,-,Francisco Morato,Grande São Paulo (exclui a Capital)"
"2000,""51,26"",""353,54"",""318,11"",""55,78"",-,-,-,Francisco Morato,Grande São Paulo (exclui a Capital)"
"2001,""46,55"",""567,49"",""384,98"",""51,72"",""585,35"",""367,55"",""952,90"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2002,""44,34"",""558,29"",""311,13"",""87,23"",""1.172,61"",""234,52"",""1.407,13"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2003,""47,21"",""1.100,75"",""317,56"",""31,47"",""412,71"",""41,27"",""453,98"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2004,""40,15"",""747,98"",""259,89"",""71,84"",""774,26"",""165,91"",""940,18"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2005,""38,15"",""602,72"",""230,27"",""68,66"",""665,84"",""147,97"",""813,81"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2006,""32,80"",""666,33"",""242,61"",""77,91"",""717,14"",""125,68"",""842,82"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2007,""13,48"",""689,69"",""236,64"",""72,14"",""535,64"",""138,64"",""674,27"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2008,""13,97"",""631,94"",""345,90"",""75,17"",""482,28"",""130,05"",""612,33"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2009,""12,47"",""630,26"",""387,35"",""89,29"",""450,51"",""194,43"",""644,95"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2010,""11,67"",""653,98"",""326,66"",""57,04"",""254,22"",""100,88"",""355,10"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2011,""9,60"",""532,03"",""361,09"",""92,19"",""274,11"",""219,29"",""493,40"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2012,""17,08"",""474,31"",""390,84"",""89,17"",""232,46"",""193,21"",""425,67"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2013,""6,87"",""479,77"",""347,33"",""96,20"",""328,51"",""89,59"",""418,10"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2014,""9,87"",""529,45"",""318,41"",""150,57"",""451,41"",""196,49"",""647,90"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2015,""8,53"",""535,18"",""423,63"",""148,12"",""435,12"",""139,52"",""574,64"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2016,""8,43"",""576,84"",""600,93"",""158,36"",""447,85"",""144,03"",""591,88"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2017,""13,09"",""481,20"",""604,93"",""130,26"",""236,54"",""234,39"",""470,93"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"2018,""10,57"",""592,49"",""592,49"",""176,75"",""363,01"",""257,82"",""620,84"",Francisco Morato,Grande São Paulo (exclui a Capital)"
"1999,""35,22"",""434,99"",""421,67"",""118,98"",-,-,-,Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2000,""30,62"",""568,86"",""393,47"",""196,74"",-,-,-,Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2001,""37,16"",""760,35"",""390,60"",""169,47"",""1.242,01"",""465,75"",""1.707,76"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2002,""40,78"",""662,19"",""316,47"",""171,09"",""1.003,21"",""545,75"",""1.548,96"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2003,""50,34"",""1.112,66"",""387,96"",""123,24"",""749,82"",""273,97"",""1.023,79"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2004,""27,21"",""738,01"",""278,03"",""118,18"",""658,24"",""247,65"",""905,89"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2005,""27,51"",""685,20"",""260,91"",""155,88"",""854,55"",""247,52"",""1.102,07"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2006,""22,08"",""681,29"",""262,54"",""186,48"",""945,05"",""265,46"",""1.210,51"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
"2007,""23,28"",""694,46"",""305,08"",""98,75"",""438,58"",""147,78"",""586,36"",Franco da Rocha,Grande São Paulo (exclui a Capital)"
